Campaign,Origin,Type2,Year,Ring,CO2Treat,Tree/ID,Perc.P,P-method
2016-Feb,Leaf litter,Senesced,2016,2,Amb,1149_R2T1,0.044,AQ2
2016-Feb,Leaf litter,Senesced,2016,2,Amb,1150_R2T4-redo,0.031,AQ2
2016-Feb,Leaf litter,Senesced,2016,2,Amb,1151_R2T7,0.032,AQ2
2016-Feb,Leaf litter,Senesced,2016,3,Amb,1152_R3T1,0.023,AQ2
2016-Feb,Leaf litter,Senesced,2016,3,Amb,1153_R3T4,0.03,AQ2
2016-Feb,Leaf litter,Senesced,2016,3,Amb,1154_R3T7,0.029,AQ2
2016-Feb,Leaf litter,Senesced,2016,4,Elev,1155_R4T1,0.024,AQ2
2016-Feb,Leaf litter,Senesced,2016,4,Elev,1156_R4T4,0.031,AQ2
2016-Feb,Leaf litter,Senesced,2016,4,Elev,1157_R4T7,0.022,AQ2
2016-Feb,Leaf litter,Senesced,2016,5,Elev,1158_R5T1,0.031,AQ2
2016-Feb,Leaf litter,Senesced,2016,5,Elev,1159_R5T4,0.03,AQ2
2016-Feb,Leaf litter,Senesced,2016,5,Elev,1159_R5T4-redo,0.036,AQ2
2016-Feb,Leaf litter,Senesced,2016,5,Elev,1160_R5T7,0.026,AQ2
2016-Feb,Leaf litter,Senesced,2016,6,Amb,1161_R6T1,0.032,AQ2
2016-Feb,Leaf litter,Senesced,2016,6,Amb,1162_R6T4,0.023,AQ2
2016-Feb,Leaf litter,Senesced,2016,6,Amb,1163_R6T7,0.029,AQ2
2017-Feb,Leaf litter,Senesced,2017,1,Elev,1164_R1T1-2017,0.054,AQ2
2017-Feb,Leaf litter,Senesced,2017,1,Elev,1165_R1T4,0.056,AQ2
2017-Feb,Leaf litter,Senesced,2017,1,Elev,1166_R1T7,0.028,AQ2
2017-Feb,Leaf litter,Senesced,2017,2,Amb,1167_R2T1,0.036,AQ2
2017-Feb,Leaf litter,Senesced,2017,2,Amb,1168_R2T4,0.03,AQ2
2017-Feb,Leaf litter,Senesced,2017,2,Amb,1169_R2T7,0.032,AQ2
2017-Feb,Leaf litter,Senesced,2017,3,Amb,1170_R3T1,,AQ2
2017-Feb,Leaf litter,Senesced,2017,3,Amb,1171_R3T4,0.033,AQ2
2017-Feb,Leaf litter,Senesced,2017,3,Amb,1172_R3T7,0.04,AQ2
2017-Feb,Leaf litter,Senesced,2017,4,Elev,1173_R4T1,0.057,AQ2
2017-Feb,Leaf litter,Senesced,2017,4,Elev,1174_R4T4-2017,0.028,AQ2
2017-Feb,Leaf litter,Senesced,2017,4,Elev,1175_R4T7-2017,0.032,AQ2
2017-Feb,Leaf litter,Senesced,2017,5,Elev,1176_R5T1,0.047,AQ2
2017-Feb,Leaf litter,Senesced,2017,5,Elev,1177_R5T4,0.044,AQ2
2017-Feb,Leaf litter,Senesced,2017,5,Elev,1178_R5T7,0.046,AQ2
2017-Feb,Leaf litter,Senesced,2017,6,Amb,1179_R6T1,0.021,AQ2
2017-Feb,Leaf litter,Senesced,2017,6,Amb,1180_R6T4,0.033,AQ2
2017-Feb,Leaf litter,Senesced,2017,6,Amb,1181_R6T7,0.036,AQ2
